year,state,id,value
2020,Alabama,Varroa mites,12.4
2020,Alabama,Other pests/parasites,3.4
2020,Alabama,Pesticides,0.1
2020,Alabama,Other,1.7
2020,Alabama,Unknown,4.3
2020,Arizona,Varroa mites,31.7
2020,Arizona,Other pests/parasites,0.1
2020,Arizona,Disesases,0.1
2020,Arizona,Other,10.1
2020,Arizona,Unknown,9
2020,Arkansas,Varroa mites,31.7
2020,Arkansas,Other pests/parasites,22.7
2020,Arkansas,Disesases,0.2
2020,Arkansas,Pesticides,2.6
2020,Arkansas,Other,0.4
2020,Arkansas,Unknown,11.2
2020,California,Varroa mites,22.4
2020,California,Other pests/parasites,6
2020,California,Disesases,5
2020,California,Pesticides,5.3
2020,California,Other,5.3
2020,California,Unknown,4.2
2020,Colorado,Varroa mites,20.8
2020,Colorado,Disesases,0.1
2020,Colorado,Pesticides,0.4
2020,Colorado,Other,10.8
2020,Colorado,Unknown,2.4
2020,Connecticut,Varroa mites,11.2
2020,Connecticut,Other pests/parasites,2.9
2020,Connecticut,Disesases,0.4
2020,Connecticut,Other,2.8
2020,Connecticut,Unknown,3
2020,Florida,Varroa mites,28
2020,Florida,Other pests/parasites,14.2
2020,Florida,Disesases,5.5
2020,Florida,Pesticides,5.3
2020,Florida,Other,8.7
2020,Florida,Unknown,10.9
2020,Georgia,Varroa mites,50.9
2020,Georgia,Other pests/parasites,3.4
2020,Georgia,Disesases,0.2
2020,Georgia,Pesticides,0.3
2020,Georgia,Other,0.4
2020,Georgia,Unknown,7.5
2020,Hawaii,Varroa mites,75.3
2020,Hawaii,Other pests/parasites,60.8
2020,Hawaii,Disesases,0.1
2020,Hawaii,Other,0.2
2020,Hawaii,Unknown,0.2
2020,Idaho,Varroa mites,10.4
2020,Idaho,Other pests/parasites,0.8
2020,Idaho,Disesases,0.1
2020,Idaho,Pesticides,2.8
2020,Idaho,Other,2.1
2020,Idaho,Unknown,1.9
2020,Illinois,Varroa mites,17.2
2020,Illinois,Other pests/parasites,8.9
2020,Illinois,Disesases,0.2
2020,Illinois,Other,7.3
2020,Illinois,Unknown,10
2020,Indiana,Varroa mites,8.2
2020,Indiana,Other pests/parasites,0.5
2020,Indiana,Disesases,0.1
2020,Indiana,Pesticides,2.9
2020,Indiana,Other,1.9
2020,Indiana,Unknown,6.2
2020,Iowa,Varroa mites,22.3
2020,Iowa,Other pests/parasites,1.9
2020,Iowa,Pesticides,0.2
2020,Iowa,Other,5.7
2020,Iowa,Unknown,5.5
2020,Kansas,Varroa mites,13.3
2020,Kansas,Other pests/parasites,8.1
2020,Kansas,Disesases,7.8
2020,Kansas,Pesticides,7.8
2020,Kansas,Other,3.1
2020,Kansas,Unknown,11.3
2020,Kentucky,Varroa mites,17.4
2020,Kentucky,Other pests/parasites,2.6
2020,Kentucky,Disesases,2
2020,Kentucky,Pesticides,0.3
2020,Kentucky,Other,7.6
2020,Kentucky,Unknown,6.5
2020,Louisiana,Varroa mites,26.5
2020,Louisiana,Other pests/parasites,7
2020,Louisiana,Disesases,0.7
2020,Louisiana,Pesticides,1.2
2020,Louisiana,Other,1.4
2020,Louisiana,Unknown,0.6
2020,Maine,Varroa mites,19.6
2020,Maine,Other pests/parasites,1.2
2020,Maine,Disesases,0.7
2020,Maine,Other,2.2
2020,Maine,Unknown,3
2020,Maryland,Varroa mites,19.9
2020,Maryland,Other pests/parasites,1.5
2020,Maryland,Disesases,0.1
2020,Maryland,Other,8.5
2020,Maryland,Unknown,2.4
2020,Massachusetts,Varroa mites,13.9
2020,Massachusetts,Other pests/parasites,0.5
2020,Massachusetts,Disesases,1.8
2020,Massachusetts,Pesticides,0.3
2020,Massachusetts,Other,4.5
2020,Massachusetts,Unknown,2.2
2020,Michigan,Varroa mites,8.1
2020,Michigan,Other pests/parasites,0.5
2020,Michigan,Disesases,0.2
2020,Michigan,Pesticides,0.2
2020,Michigan,Other,0.4
2020,Michigan,Unknown,0.7
2020,Minnesota,Varroa mites,3.5
2020,Minnesota,Pesticides,0.2
2020,Minnesota,Other,4.3
2020,Minnesota,Unknown,0.3
2020,Mississippi,Varroa mites,58.6
2020,Mississippi,Other pests/parasites,50.9
2020,Mississippi,Disesases,0.3
