Number of Colonies,Colonies Lost,Colonies Added,Colonies Renovated,Region
31000,4670,4940,1250,Southeast
144000,28100,30200,40600,Southwest
49500,12400,13200,5800,Southeast
3960000,584000,499000,577000,West
9900,340,1330,660,Northeast
445000,7900,7600,5040,West
899000,150000,165000,106000,Southeast
436000,68500,95900,45900,Southeast
51500,3890,8400,8220,West
344000,46200,30100,35500,West
29500,6900,9600,2990,Midwest
32000,5000,6790,4840,Midwest
89000,11800,8880,4080,Midwest
28100,6670,3400,670,Midwest
33500,7480,4040,2060,Southeast
200000,16700,13000,18700,Southeast
18400,4090,4460,860,Northeast
22500,5150,4930,1650,Midwest
19000,2140,1520,1060,Northeast
230500,37000,24510,13300,Midwest
336000,58200,21930,23870,Midwest
177000,24500,28260,17840,Southeast
51000,4390,2850,3380,Midwest
300500,26900,19600,44180,West
300500,19700,16130,16410,Midwest
41000,3380,2880,5010,Northeast
26000,3580,3280,1610,Southwest
140000,18100,16090,9460,Northeast
89500,13900,14510,5160,Southeast
868000,157620,54500,92530,Midwest
77500,16900,17500,10320,Midwest
59000,9080,8550,2710,Southwest
327000,29000,27000,34300,West
76500,12400,11960,11500,Northeast
56500,7850,5320,4980,Southeast
445000,78600,37600,38800,Midwest
35500,5030,5170,1880,Southeast
697000,100500,176500,151800,Southwest
89000,16600,14020,6490,West
24000,1780,1820,100,Northeast
23500,3450,3420,1110,Southeast
328000,37000,30630,42170,West
23400,3280,3960,1060,Southeast
149500,28100,14610,12310,Midwest
46500,7700,9770,6840,West
